contour_0
1201,838
1200,840
1197,840
1196,841
1187,841
1186,842
1177,842
1176,843
1171,843
1170,845
1168,845
1167,846
1162,846
1161,847
1158,847
1157,848
1153,848
1152,850
1151,850
1150,851
1148,851
1147,852
1145,852
1143,853
1138,853
1137,855
1136,855
1135,856
1133,856
1132,857
1130,857
1128,858
1127,858
1125,861
1123,861
1122,862
1120,862
1118,863
1117,863
1116,865
1115,865
1113,866
1112,866
1111,867
1110,867
1107,870
1106,870
1105,871
1103,871
1102,872
1101,872
1098,875
1097,875
1093,878
1092,878
1090,881
1088,881
1082,887
1081,887
1068,900
1067,900
1062,905
1062,906
1058,910
1058,911
1056,913
1056,915
1048,922
1048,923
1047,925
1047,926
1043,930
1043,931
1041,933
1041,935
1040,936
1040,937
1037,940
1037,941
1036,942
1036,943
1035,945
1035,946
1032,948
1032,951
1031,952
1031,953
1030,955
1030,956
1028,957
1028,958
1027,960
1027,962
1025,965
1025,966
1023,967
1023,968
1022,970
1022,973
1021,975
1021,976
1020,977
1020,978
1018,980
1018,985
1017,986
1017,987
1015,990
1015,992
1013,993
1013,998
1012,1000
1012,1002
1011,1003
1011,1007
1010,1008
1010,1015
1008,1016
1008,1018
1007,1020
1007,1028
1006,1030
1006,1033
1005,1035
1005,1040
1003,1041
1003,1056
1002,1057
1002,1080
1001,1081
1001,1092
1000,1093
1000,1121
998,1122
998,1138
996,1141
995,1141
993,1142
992,1142
991,1143
990,1143
988,1145
987,1145
982,1150
982,1151
981,1152
981,1153
980,1155
980,1165
978,1166
978,1175
980,1176
980,1203
981,1205
981,1210
982,1211
982,1212
983,1213
983,1217
985,1218
985,1221
986,1222
986,1223
987,1225
987,1226
991,1230
991,1231
995,1235
995,1236
1003,1245
1003,1246
1016,1258
1016,1260
1025,1268
1025,1270
1028,1273
1028,1275
1035,1281
1035,1282
1036,1283
1036,1285
1038,1287
1038,1288
1040,1290
1040,1291
1042,1293
1042,1295
1045,1297
1045,1300
1046,1301
1046,1303
1047,1305
1047,1306
1048,1307
1048,1310
1050,1311
1050,1317
1051,1318
1051,1321
1053,1323
1053,1327
1055,1328
1055,1340
1056,1341
1056,1347
1057,1348
1057,1351
1058,1352
1058,1368
1060,1370
1060,1413
1058,1415
1058,1431
1057,1432
1057,1433
1056,1435
1056,1438
1055,1440
1055,1446
1053,1447
1053,1451
1050,1455
1050,1458
1047,1461
1047,1462
1046,1463
1046,1466
1042,1470
1042,1471
1040,1473
1040,1475
1036,1478
1036,1481
1031,1486
1031,1487
1022,1496
1022,1497
1005,1515
1003,1515
998,1520
997,1520
992,1525
991,1525
988,1527
987,1527
986,1528
985,1528
983,1530
982,1530
980,1532
978,1532
977,1533
976,1533
975,1535
973,1535
972,1536
971,1536
970,1537
968,1537
967,1538
966,1538
965,1540
963,1540
